구이름,동이름,공영민영개수총합계,공영민영면적총합계,공영개수,공영면수,민영개수,민영면수,노상총개수,노상총면수,노상시영개수,노상시영면수,노상구영개수,노상구영면수,노외총합개수,노외총합면수,노외시영개수,노외시영면수,노외구영개수,노외국영면수,노외민영개수,노외민영면수,건축물총개수,건축물총면적,일반주택개수,일반주택면적,공동주택개수,공동주택면적,일반건축물개수,일반건축물면적
종로구,소계,8232,92062,185,5833,8047,86229,147,1987,10,326,137,1661,98,5052,5,2668,33,1178,60,1206,7987,85023,2658,6748,1448,25103,3881,53172
종로구,사직동,362,12605,17,1422,345,11183,13,95,-,-,13,95,9,1442,3,1307,1,20,5,115,340,11068,76,370,64,2442,200,8256
종로구,삼청동,343,2237,16,122,327,2115,14,91,-,-,14,91,5,145,-,-,2,31,3,114,324,2001,84,183,9,68,231,1750
종로구,부암동,596,3533,10,141,586,3392,8,110,-,-,8,110,2,31,-,-,2,31,-,-,586,3392,315,687,145,1202,126,1503
종로구,평창동,1617,9390,23,265,1594,9125,20,208,-,-,20,208,3,57,-,-,3,57,-,-,1594,9125,1080,2307,265,4728,249,2090
종로구,무악동,69,3185,-,-,69,3185,-,-,-,-,-,-,-,-,-,-,-,-,-,-,69,3185,10,294,10,2717,49,174
종로구,교남동,209,5240,6,100,203,5140,4,58,-,-,4,58,2,42,-,-,2,42,-,-,203,5140,24,58,62,2794,117,2288
종로구,가회동,461,3238,9,205,452,3033,9,205,-,-,9,205,1,4,-,-,-,-,1,4,451,3029,87,219,88,426,276,2384
종로구,종로1.2.3.4가동,935,18551,21,1709,914,16842,17,293,7,165,10,128,25,1881,2,1361,2,55,21,465,893,16377,33,272,4,1144,856,14961
종로구,종로5.6가동,705,4754,8,190,697,4564,8,190,1,83,7,107,4,75,-,-,-,-,4,75,693,4489,77,152,10,178,606,4159
종로구,이화동,442,8766,16,237,426,8529,13,104,-,-,13,104,8,198,-,-,3,133,5,65,421,8464,89,223,94,569,238,7672
종로구,창신1동,228,2175,5,170,223,2005,4,84,2,78,2,6,11,225,-,-,1,86,10,139,213,1866,24,64,8,573,181,1229
종로구,창신2동,209,917,10,194,199,723,8,121,-,-,8,121,3,83,-,-,2,73,1,10,198,713,48,138,81,428,69,147
종로구,창신3동,37,1637,5,121,32,1516,3,52,-,-,3,52,2,69,-,-,2,69,-,-,32,1516,9,19,8,1381,15,116
종로구,숭인1동,88,1512,5,67,83,1445,4,38,-,-,4,38,1,29,-,-,1,29,-,-,83,1445,27,57,16,1211,40,177
종로구,숭인2동,441,3776,6,133,435,3643,4,40,-,-,4,40,8,229,-,-,2,93,6,136,429,3507,40,90,130,1340,259,2077
