연분기,행정동코드,동이름,총유동인구수
20221,11290630,정릉2동,5962774
20221,11290640,정릉3동,2989513
20221,11290650,정릉4동,3387907
20221,11290660,길음1동,6543237
20221,11290685,길음2동,4618415
20221,11290705,종암동,10955670
20221,11290715,월곡1동,7032896
20221,11290725,월곡2동,6237100
20221,11290760,장위1동,6999341
20221,11290770,장위2동,5030450
20221,11290780,장위3동,2391999
20221,11290810,석관동,10062873
20221,11305534,삼양동,12180015
20221,11305535,미아동,7454425
20221,11305545,송중동,12633692
20221,11305555,송천동,12738608
20221,11305575,삼각산동,3363884
20221,11305595,번1동,7079291
20221,11305603,번2동,3542107
20221,11305608,번3동,3660414
20221,11305615,수유1동,6741933
20221,11305625,수유2동,6283647
20221,11305635,수유3동,10654557
20221,11305645,우이동,4170549
20221,11305660,인수동,9367179
20221,11320511,창1동,4722612
20221,11320512,창2동,10486143
20221,11320513,창3동,4153623
20221,11320514,창4동,3697648
20221,11320515,창5동,4555767
20221,11320521,도봉1동,3776409
20221,11320522,도봉2동,3600088
20221,11320660,쌍문1동,5192720
20221,11320670,쌍문2동,4513348
20221,11320680,쌍문3동,5195528
20221,11320681,쌍문4동,3075115
20221,11320690,방학1동,7219773
20221,11320700,방학2동,3099673
20221,11320710,방학3동,3696217
20221,11350560,월계1동,5023628
20221,11350570,월계2동,4042892
20221,11350580,월계3동,2883261
20221,11350595,공릉1동,11518654
20221,11350600,공릉2동,7902971
20221,11350611,하계1동,3812631
20221,11350612,하계2동,2930802
20221,11350619,중계본동,4373887
20221,11350621,중계1동,4258648
20221,11350624,중계4동,3099970
20221,11350625,중계2?3동,4614436
20221,11350630,상계1동,7786893
20221,11350640,상계2동,11236425
20221,11350665,상계3?4동,8670137
20221,11350670,상계5동,6910620
20221,11350695,상계6?7동,6639462
20221,11350700,상계8동,952758
20221,11350710,상계9동,1985115
20221,11350720,상계10동,2001274
20221,11380510,녹번동,7361715
20221,11380520,불광1동,6005641
20221,11380530,불광2동,6031006
20221,11380551,갈현1동,7967560
20221,11380552,갈현2동,6533057
20221,11380560,구산동,5590110
20221,11380570,대조동,10298654
20221,11380580,응암1동,6298106
20221,11380590,응암2동,3750117
20221,11380600,응암3동,7656970
20221,11380625,역촌동,13081272
20221,11380631,신사1동,6815661
20221,11380632,신사2동,3715492
20221,11380640,증산동,3261881
20221,11380650,수색동,1616943
20221,11380690,진관동,7641229
20221,11410520,천연동,4156041
20221,11410555,북아현동,16197860
20221,11410565,충현동,9883004
20221,11410585,신촌동,9695235
20221,11410615,연희동,8631034
20221,11410620,홍제1동,5856107
20221,11410640,홍제3동,4213451
20221,11410655,홍제2동,2791715
20221,11410660,홍은1동,3895420
20221,11410685,홍은2동,4579117
20221,11410690,남가좌1동,1127199
20221,11410700,남가좌2동,5888602
20221,11410710,북가좌1동,2904309
20221,11410720,북가좌2동,13695532
20221,11440555,아현동,6074686
20221,11440565,공덕동,14056034
20221,11440585,도화동,3889125
20221,11440590,용강동,7359856
20221,11440600,대흥동,7325154
20221,11440610,염리동,3365752
20221,11440630,신수동,5562192
20221,11440655,서강동,6024989
20221,11440660,서교동,15454356
20221,11440680,합정동,5369335
20221,11440690,망원1동,7130604
20221,11440700,망원2동,6380099
20221,11440710,연남동,6805240
20221,11440720,성산1동,6295800
20221,11440730,성산2동,7535517
20221,11440740,상암동,5094792
20221,11470510,목1동,5241930
20221,11470520,목2동,7460396
20221,11470530,목3동,4910399
20221,11470540,목4동,6132136
20221,11470550,목5동,4996205
20221,11470560,신월1동,4525591
20221,11470570,신월2동,4419350
20221,11470580,신월3동,2998233
20221,11470590,신월4동,3466225
20221,11470600,신월5동,1988706
20221,11470610,신월6동,1082712
20221,11470611,신월7동,2177857
20221,11470620,신정1동,3987508
20221,11470630,신정2동,3791650
20221,11470640,신정3동,7439277
20221,11470650,신정4동,10814253
20221,11470670,신정6동,2236511
20221,11470680,신정7동,3333059
20221,11500510,염창동,8393946
20221,11500520,등촌1동,5674412
20221,11500530,등촌2동,3902583
20221,11500535,등촌3동,6766364
20221,11500540,화곡1동,16683095
20221,11500550,화곡2동,3562788
20221,11500560,화곡3동,3847126
20221,11500570,화곡4동,4662375
20221,11500590,화곡본동,8908745
20221,11500591,화곡6동,5162412
20221,11500593,화곡8동,7919315
20221,11500603,가양1동,3578127
20221,11500604,가양2동,2073862
20221,11500605,가양3동,1673800
20221,11500611,발산1동,5495476
20221,11500615,우장산동,6533428
20221,11500620,공항동,5901273
20221,11500630,방화1동,7595315
20221,11500640,방화2동,4779614
20221,11500641,방화3동,3140668
20221,11530510,신도림동,6209823
20221,11530520,구로1동,2174719
20221,11530530,구로2동,9180599
20221,11530540,구로3동,7024556
20221,11530550,구로4동,7093746
20221,11530560,구로5동,6751342
20221,11530595,가리봉동,3240399
20221,11530720,고척1동,4562820
20221,11530730,고척2동,6047461
20221,11530740,개봉1동,7857987
20221,11530750,개봉2동,3944309
20221,11530760,개봉3동,3812725
20221,11530770,오류1동,3751304
20221,11530780,오류2동,5511581
20221,11530790,수궁동,1838777
