분류,업종명
기타,PC방
생활잡화,가구
생활잡화,가방
생활잡화,가전제품
생활잡화,가전제품수리
생활잡화,고시원
기타,골프연습장
생활잡화,네일숍
기타,노래방
기타,당구장
생활잡화,문구
생활잡화,미곡판매
생활잡화,미용실
생활잡화,반찬가게
생활잡화,부동산중개업
음식점,분식전문점
생활잡화,서적
생활잡화,섬유제품
생활잡화,세탁소
생활잡화,수산물판매
생활잡화,슈퍼마켓
생활잡화,스포츠 강습
생활잡화,스포츠클럽
생활잡화,시계및귀금속
생활잡화,신발
생활잡화,안경
생활잡화,애완동물
음식점,양식음식점
생활잡화,여관
기타,예술학원
생활잡화,완구
기타,외국어학원
생활잡화,운동/경기용품
생활잡화,육류판매
기타,의료기기
기타,의약품
생활잡화,인테리어
기타,일반교습학원
생활잡화,일반의류
기타,일반의원
음식점,일식음식점
생활잡화,자동차미용
생활잡화,자동차수리
생활잡화,자전거 및 기타운송장비
생활잡화,전자상거래업
음식점,제과점
생활잡화,조명용품
음식점,중식음식점
생활잡화,철물점
생활잡화,청과상
기타,치과의원
음식점,치킨전문점
음식점,커피-음료
생활잡화,컴퓨터및주변장치판매
음식점,패스트푸드점
생활잡화,편의점
기타,피부관리실
음식점,한식음식점
기타,한의원
생활잡화,핸드폰
음식점,호프-간이주점
생활잡화,화장품
생활잡화,화초
